family,tip_label,image_dir,tree_species,fishbase_query,fishbase_resolved,note
cirrhilabrini,Cirrhilabrus_filamentosusF9,Cirrhilabrus_filamentosus,Cirrhilabrus_filamentosus,Cirrhilabrus filamentosus,,
cirrhilabrini,Cirrhilabrus_hygroxerusF631KC23,Cirrhilabrus_hygroxerus,Cirrhilabrus_hygroxerus,Cirrhilabrus hygroxerus,,
cirrhilabrini,Cirrhilabrus_joanallenaeCFF181,Cirrhilabrus_joanallenae,Cirrhilabrus_joanallenae,Cirrhilabrus joanallenae,,
cirrhilabrini,Cirrhilabrus_rubeusF574KC13,Cirrhilabrus_rubeus,Cirrhilabrus_rubeus,Cirrhilabrus rubeus,,
cirrhilabrini,Cirrhilabrus_rubriventralisJF20,Cirrhilabrus_rubriventralis,Cirrhilabrus_rubriventralis,Cirrhilabrus rubriventralis,,
cirrhilabrini,Cirrhilabrus_joanallenaeF10,Cirrhilabrus_joanallenae,Cirrhilabrus_joanallenae,Cirrhilabrus joanallenae,,
cirrhilabrini,Cirrhilabrus_naokoaeF596KC20,Cirrhilabrus_naokoae,Cirrhilabrus_naokoae,Cirrhilabrus naokoae,,
cirrhilabrini,Cirrhilabrus_rubripinnisF424,Cirrhilabrus_rubripinnis,Cirrhilabrus_rubripinnis,Cirrhilabrus rubripinnis,,
cirrhilabrini,Cirrhilabrus_balteatusF5,Cirrhilabrus_balteatus,Cirrhilabrus_balteatus,Cirrhilabrus balteatus,,
cirrhilabrini,Cirrhilabrus_temminckiiF426,Cirrhilabrus_temminckii,Cirrhilabrus_temminckii,Cirrhilabrus temminckii,,
cirrhilabrini,Cirrhilabrus_punctatusCFF179,Cirrhilabrus_punctatus,Cirrhilabrus_punctatus,Cirrhilabrus punctatus,,
cirrhilabrini,Cirrhilabrus_blatteusF419,Cirrhilabrus_blatteus,Cirrhilabrus_blatteus,Cirrhilabrus blatteus,,
cirrhilabrini,Cirrhilabrus_rubrisquamisF634KCg5,Cirrhilabrus_rubrisquamis,Cirrhilabrus_rubrisquamis,Cirrhilabrus rubrisquamis,,
